"region";"age";"industry (SIC2007)";"working hours";"Employees by place of residence 2019";"Employees by place of work 2019"
"K-3025 Asker";"15-74 years";"41-43 Construction";"Part-time";303;279
"K-3025 Asker";"15-74 years";"41-43 Construction";"Full-time";3080;2851
"K-3025 Asker";"20-66 years";"00-99 All industries";"Part-time";9161;8250
"K-3025 Asker";"20-66 years";"00-99 All industries";"Full-time";32902;23681
"K-3025 Asker";"20-66 years";"05-09 Mining and quarrying";"Part-time";19;14
"K-3025 Asker";"20-66 years";"05-09 Mining and quarrying";"Full-time";650;503
"K-3025 Asker";"20-66 years";"41-43 Construction";"Part-time";255;238
"K-3025 Asker";"20-66 years";"41-43 Construction";"Full-time";2939;2722
"K-3026 Aurskog-H?land";"15-74 years";"00-99 All industries";"Part-time";2201;1546
"K-3026 Aurskog-H?land";"15-74 years";"00-99 All industries";"Full-time";5752;3467
"K-3026 Aurskog-H?land";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3026 Aurskog-H?land";"15-74 years";"05-09 Mining and quarrying";"Full-time";22;3
"K-3026 Aurskog-H?land";"15-74 years";"41-43 Construction";"Part-time";81;68
"K-3026 Aurskog-H?land";"15-74 years";"41-43 Construction";"Full-time";862;646
"K-3026 Aurskog-H?land";"20-66 years";"00-99 All industries";"Part-time";1874;1312
"K-3026 Aurskog-H?land";"20-66 years";"00-99 All industries";"Full-time";5553;3321
"K-3026 Aurskog-H?land";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3026 Aurskog-H?land";"20-66 years";"05-09 Mining and quarrying";"Full-time";25;3
"K-3026 Aurskog-H?land";"20-66 years";"41-43 Construction";"Part-time";73;62
"K-3026 Aurskog-H?land";"20-66 years";"41-43 Construction";"Full-time";825;616
"K-3027 R?lingen";"15-74 years";"00-99 All industries";"Part-time";2089;834
"K-3027 R?lingen";"15-74 years";"00-99 All industries";"Full-time";7313;1974
"K-3027 R?lingen";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3027 R?lingen";"15-74 years";"05-09 Mining and quarrying";"Full-time";33;12
"K-3027 R?lingen";"15-74 years";"41-43 Construction";"Part-time";74;40
"K-3027 R?lingen";"15-74 years";"41-43 Construction";"Full-time";792;280
"K-3027 R?lingen";"20-66 years";"00-99 All industries";"Part-time";1810;744
"K-3027 R?lingen";"20-66 years";"00-99 All industries";"Full-time";7144;1908
"K-3027 R?lingen";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;3
"K-3027 R?lingen";"20-66 years";"05-09 Mining and quarrying";"Full-time";33;12
"K-3027 R?lingen";"20-66 years";"41-43 Construction";"Part-time";63;30
"K-3027 R?lingen";"20-66 years";"41-43 Construction";"Full-time";750;263
"K-3028 Enebakk";"15-74 years";"00-99 All industries";"Part-time";1270;757
"K-3028 Enebakk";"15-74 years";"00-99 All industries";"Full-time";3980;1916
"K-3028 Enebakk";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3028 Enebakk";"15-74 years";"05-09 Mining and quarrying";"Full-time";21;0
"K-3028 Enebakk";"15-74 years";"41-43 Construction";"Part-time";77;47
"K-3028 Enebakk";"15-74 years";"41-43 Construction";"Full-time";662;332
"K-3028 Enebakk";"20-66 years";"00-99 All industries";"Part-time";1077;639
"K-3028 Enebakk";"20-66 years";"00-99 All industries";"Full-time";3849;1850
"K-3028 Enebakk";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3028 Enebakk";"20-66 years";"05-09 Mining and quarrying";"Full-time";21;0
"K-3028 Enebakk";"20-66 years";"41-43 Construction";"Part-time";57;32
"K-3028 Enebakk";"20-66 years";"41-43 Construction";"Full-time";622;313
"K-3029 L?renskog";"15-74 years";"00-99 All industries";"Part-time";4559;5955
"K-3029 L?renskog";"15-74 years";"00-99 All industries";"Full-time";15896;15473
"K-3029 L?renskog";"15-74 years";"05-09 Mining and quarrying";"Part-time";7;17
"K-3029 L?renskog";"15-74 years";"05-09 Mining and quarrying";"Full-time";68;88
"K-3029 L?renskog";"15-74 years";"41-43 Construction";"Part-time";137;119
"K-3029 L?renskog";"15-74 years";"41-43 Construction";"Full-time";1494;1266
"K-3029 L?renskog";"20-66 years";"00-99 All industries";"Part-time";3907;5313
"K-3029 L?renskog";"20-66 years";"00-99 All industries";"Full-time";15432;15028
"K-3029 L?renskog";"20-66 years";"05-09 Mining and quarrying";"Part-time";7;14
"K-3029 L?renskog";"20-66 years";"05-09 Mining and quarrying";"Full-time";66;85
"K-3029 L?renskog";"20-66 years";"41-43 Construction";"Part-time";113;101
"K-3029 L?renskog";"20-66 years";"41-43 Construction";"Full-time";1427;1213
"K-3030 Lillestr?m";"15-74 years";"00-99 All industries";"Part-time";9710;9557
"K-3030 Lillestr?m";"15-74 years";"00-99 All industries";"Full-time";33435;28823
"K-3030 Lillestr?m";"15-74 years";"05-09 Mining and quarrying";"Part-time";6;0
"K-3030 Lillestr?m";"15-74 years";"05-09 Mining and quarrying";"Full-time";139;10
"K-3030 Lillestr?m";"15-74 years";"41-43 Construction";"Part-time";350;348
"K-3030 Lillestr?m";"15-74 years";"41-43 Construction";"Full-time";3622;3227
"K-3030 Lillestr?m";"20-66 years";"00-99 All industries";"Part-time";8296;7998
"K-3030 Lillestr?m";"20-66 years";"00-99 All industries";"Full-time";32451;27819
"K-3030 Lillestr?m";"20-66 years";"05-09 Mining and quarrying";"Part-time";6;0
"K-3030 Lillestr?m";"20-66 years";"05-09 Mining and quarrying";"Full-time";137;10
"K-3030 Lillestr?m";"20-66 years";"41-43 Construction";"Part-time";297;293
"K-3030 Lillestr?m";"20-66 years";"41-43 Construction";"Full-time";3466;3093
"K-3031 Nittedal";"15-74 years";"00-99 All industries";"Part-time";2702;1839
"K-3031 Nittedal";"15-74 years";"00-99 All industries";"Full-time";9365;5585
"K-3031 Nittedal";"15-74 years";"05-09 Mining and quarrying";"Part-time";4;3
"K-3031 Nittedal";"15-74 years";"05-09 Mining and quarrying";"Full-time";29;12
"K-3031 Nittedal";"15-74 years";"41-43 Construction";"Part-time";89;64
"K-3031 Nittedal";"15-74 years";"41-43 Construction";"Full-time";1024;696
"K-3031 Nittedal";"20-66 years";"00-99 All industries";"Part-time";2253;1545
"K-3031 Nittedal";"20-66 years";"00-99 All industries";"Full-time";9086;5403
"K-3031 Nittedal";"20-66 years";"05-09 Mining and quarrying";"Part-time";4;3
"K-3031 Nittedal";"20-66 years";"05-09 Mining and quarrying";"Full-time";29;11
"K-3031 Nittedal";"20-66 years";"41-43 Construction";"Part-time";74;47
"K-3031 Nittedal";"20-66 years";"41-43 Construction";"Full-time";973;663
"K-3032 Gjerdrum";"15-74 years";"00-99 All industries";"Part-time";811;478
"K-3032 Gjerdrum";"15-74 years";"00-99 All industries";"Full-time";2625;962
"K-3032 Gjerdrum";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
