"region";"country background";"Unemployed persons in per cent of persons in total 2020K4"
"5031 Malvik";"Immigrants";6.5
"5032 Selbu";"Total";1.1
"5032 Selbu";"Immigrants";2.3
"5033 Tydal";"Total";:
"5033 Tydal";"Immigrants";:
"5034 Mer?ker";"Total";2.9
"5034 Mer?ker";"Immigrants";7.1
"5035 Stj?rdal";"Total";2.2
"5035 Stj?rdal";"Immigrants";5.6
"5036 Frosta";"Total";1.8
"5036 Frosta";"Immigrants";3.3
"5037 Levanger";"Total";1.6
"5037 Levanger";"Immigrants";3.9
"5038 Verdal";"Total";2.3
"5038 Verdal";"Immigrants";6.8
"5041 Sn?ase - Sn?sa";"Total";1.2
"5041 Sn?ase - Sn?sa";"Immigrants";:
"5042 Lierne";"Total";:
"5042 Lierne";"Immigrants";:
"5043 Raarvihke - R?yrvik";"Total";:
"5043 Raarvihke - R?yrvik";"Immigrants";:
"5044 Namsskogan";"Total";:
"5044 Namsskogan";"Immigrants";:
"5045 Grong";"Total";1.8
"5045 Grong";"Immigrants";3.9
"5046 H?ylandet";"Total";:
"5046 H?ylandet";"Immigrants";:
"5047 Overhalla";"Total";1.8
"5047 Overhalla";"Immigrants";7.1
"5049 Flatanger";"Total";1.4
"5049 Flatanger";"Immigrants";6.1
"5052 Leka";"Total";0.8
"5052 Leka";"Immigrants";:
"5053 Inder?y";"Total";1.4
"5053 Inder?y";"Immigrants";6.2
"5054 Indre Fosen";"Total";1.8
"5054 Indre Fosen";"Immigrants";6.0
"5055 Heim";"Total";1.4
"5055 Heim";"Immigrants";4.7
"5056 Hitra";"Total";1.6
"5056 Hitra";"Immigrants";3.2
"5057 ?rland";"Total";1.3
"5057 ?rland";"Immigrants";3.3
"5058 ?fjord";"Total";1.3
"5058 ?fjord";"Immigrants";4.9
"5059 Orkland";"Total";1.6
"5059 Orkland";"Immigrants";4.1
"5060 N?r?ysund";"Total";1.9
"5060 N?r?ysund";"Immigrants";5.7
"5061 Rindal";"Total";0.6
"5061 Rindal";"Immigrants";:
"1804 Bod?";"Total";1.8
"1804 Bod?";"Immigrants";4.6
"1806 Narvik";"Total";1.7
"1806 Narvik";"Immigrants";5.6
"1811 Bindal";"Total";:
"1811 Bindal";"Immigrants";:
"1812 S?mna";"Total";0.9
"1812 S?mna";"Immigrants";2.8
"1813 Br?nn?y";"Total";1.7
"1813 Br?nn?y";"Immigrants";5.2
"1815 Vega";"Total";:
"1815 Vega";"Immigrants";:
"1816 Vevelstad";"Total";0.0
"1816 Vevelstad";"Immigrants";:
"1818 Her?y (Nordland)";"Total";1.4
"1818 Her?y (Nordland)";"Immigrants";3.8
"1820 Alstahaug";"Total";1.4
"1820 Alstahaug";"Immigrants";3.0
"1822 Leirfjord";"Total";1.4
"1822 Leirfjord";"Immigrants";3.2
"1824 Vefsn";"Total";1.1
"1824 Vefsn";"Immigrants";3.6
"1825 Grane";"Total";1.2
