"region";"sex";"age";"Persons 2020"
"K-3042 Hemsedal";"Females";"80-89 years";48
"K-3042 Hemsedal";"Females";"90 years or older";13
"K-3043 ?l";"Males";"0-17 years";465
"K-3043 ?l";"Males";"18-49 years";874
"K-3043 ?l";"Males";"50-66 years";557
"K-3043 ?l";"Males";"67-79 years";304
"K-3043 ?l";"Males";"80-89 years";91
"K-3043 ?l";"Males";"90 years or older";27
"K-3043 ?l";"Females";"0-17 years";460
"K-3043 ?l";"Females";"18-49 years";828
"K-3043 ?l";"Females";"50-66 years";544
"K-3043 ?l";"Females";"67-79 years";332
"K-3043 ?l";"Females";"80-89 years";146
"K-3043 ?l";"Females";"90 years or older";46
"K-3044 Hol";"Males";"0-17 years";401
"K-3044 Hol";"Males";"18-49 years";873
"K-3044 Hol";"Males";"50-66 years";538
"K-3044 Hol";"Males";"67-79 years";322
"K-3044 Hol";"Males";"80-89 years";83
"K-3044 Hol";"Males";"90 years or older";21
"K-3044 Hol";"Females";"0-17 years";360
"K-3044 Hol";"Females";"18-49 years";827
"K-3044 Hol";"Females";"50-66 years";543
"K-3044 Hol";"Females";"67-79 years";330
"K-3044 Hol";"Females";"80-89 years";98
"K-3044 Hol";"Females";"90 years or older";45
"K-3045 Sigdal";"Males";"0-17 years";345
"K-3045 Sigdal";"Males";"18-49 years";623
"K-3045 Sigdal";"Males";"50-66 years";472
"K-3045 Sigdal";"Males";"67-79 years";269
"K-3045 Sigdal";"Males";"80-89 years";64
"K-3045 Sigdal";"Males";"90 years or older";8
"K-3045 Sigdal";"Females";"0-17 years";303
"K-3045 Sigdal";"Females";"18-49 years";577
"K-3045 Sigdal";"Females";"50-66 years";412
"K-3045 Sigdal";"Females";"67-79 years";256
"K-3045 Sigdal";"Females";"80-89 years";95
"K-3045 Sigdal";"Females";"90 years or older";43
"K-3046 Kr?dsherad";"Males";"0-17 years";231
"K-3046 Kr?dsherad";"Males";"18-49 years";417
"K-3046 Kr?dsherad";"Males";"50-66 years";295
"K-3046 Kr?dsherad";"Males";"67-79 years";150
"K-3046 Kr?dsherad";"Males";"80-89 years";31
"K-3046 Kr?dsherad";"Males";"90 years or older";6
"K-3046 Kr?dsherad";"Females";"0-17 years";212
"K-3046 Kr?dsherad";"Females";"18-49 years";392
"K-3046 Kr?dsherad";"Females";"50-66 years";247
"K-3046 Kr?dsherad";"Females";"67-79 years";161
"K-3046 Kr?dsherad";"Females";"80-89 years";54
"K-3046 Kr?dsherad";"Females";"90 years or older";16
"K-3047 Modum";"Males";"0-17 years";1409
"K-3047 Modum";"Males";"18-49 years";2916
"K-3047 Modum";"Males";"50-66 years";1631
"K-3047 Modum";"Males";"67-79 years";901
"K-3047 Modum";"Males";"80-89 years";228
"K-3047 Modum";"Males";"90 years or older";37
"K-3047 Modum";"Females";"0-17 years";1360
"K-3047 Modum";"Females";"18-49 years";2605
"K-3047 Modum";"Females";"50-66 years";1643
"K-3047 Modum";"Females";"67-79 years";952
"K-3047 Modum";"Females";"80-89 years";336
"K-3047 Modum";"Females";"90 years or older";97
"K-3048 ?vre Eiker";"Males";"0-17 years";2143
"K-3048 ?vre Eiker";"Males";"18-49 years";4215
"K-3048 ?vre Eiker";"Males";"50-66 years";2118
"K-3048 ?vre Eiker";"Males";"67-79 years";1079
"K-3048 ?vre Eiker";"Males";"80-89 years";310
"K-3048 ?vre Eiker";"Males";"90 years or older";51
"K-3048 ?vre Eiker";"Females";"0-17 years";1955
"K-3048 ?vre Eiker";"Females";"18-49 years";3934
"K-3048 ?vre Eiker";"Females";"50-66 years";1983
"K-3048 ?vre Eiker";"Females";"67-79 years";1130
"K-3048 ?vre Eiker";"Females";"80-89 years";389
"K-3048 ?vre Eiker";"Females";"90 years or older";116
"K-3049 Lier";"Males";"0-17 years";3124
"K-3049 Lier";"Males";"18-49 years";5652
"K-3049 Lier";"Males";"50-66 years";2999
"K-3049 Lier";"Males";"67-79 years";1445
